date,account,category,amount,currency,converted amount,currency,description
16/04/2019,Cash,Food,-60,PHP,-60,PHP,
16/04/2019,Cash,Food,-160,PHP,-160,PHP,
16/04/2019,Cash,Transport,-120,PHP,-120,PHP,
16/04/2019,Cash,Food,-160,PHP,-160,PHP,
16/04/2019,Cash,Service Charge,-15,PHP,-15,PHP,
16/04/2019,BPI,To 'Cash',-300,PHP,-300,PHP,
16/04/2019,Cash,From 'BPI',300,PHP,300,PHP,
17/04/2019,Cash,Food,-26,PHP,-26,PHP,
17/04/2019,Cash,Food,-300,PHP,-300,PHP,
17/04/2019,Cash,Food,-35,PHP,-35,PHP,
17/04/2019,Cash,Food,-7,PHP,-7,PHP,
17/04/2019,Cash,Transport,-8,PHP,-8,PHP,
17/04/2019,Cash,Food,-38,PHP,-38,PHP,
21/04/2019,Cash,Food,-205,PHP,-205,PHP,
21/04/2019,Cash,Transport,-20,PHP,-20,PHP,
21/04/2019,Cash,Transport,-14,PHP,-14,PHP,
21/04/2019,Cash,Food,-62,PHP,-62,PHP,
21/04/2019,Cash,Gift,-300,PHP,-300,PHP,
22/04/2019,Cash,Food,-67,PHP,-67,PHP,
22/04/2019,Cash,Food,-99,PHP,-99,PHP,
22/04/2019,Cash,Transport,-10,PHP,-10,PHP,
22/04/2019,Cash,Transport,-7,PHP,-7,PHP,
23/04/2019,Cash,Food,-45,PHP,-45,PHP,
23/04/2019,Cash,Transport,-7,PHP,-7,PHP,
23/04/2019,Cash,Transport,-10,PHP,-10,PHP,
23/04/2019,Cash,To 'A/R 1',-500,PHP,-500,PHP,
23/04/2019,A/R 1,From 'Cash',500,PHP,500,PHP,
24/04/2019,BPI,Salary,"22,255.33",PHP,"22,255.33",PHP,
24/04/2019,Cash,Food,-146,PHP,-146,PHP,
24/04/2019,Cash,Transport,-24,PHP,-24,PHP,
24/04/2019,Cash,Sports,-50,PHP,-50,PHP,
24/04/2019,Cash,Transport,-14,PHP,-14,PHP,
24/04/2019,Cash,Food,-12,PHP,-12,PHP,
24/04/2019,BPI,To 'Cash',"-5,400",PHP,"-5,400",PHP,
24/04/2019,Cash,From 'BPI',"5,400",PHP,"5,400",PHP,
25/04/2019,Cash,Transport,-7,PHP,-7,PHP,
25/04/2019,Cash,To 'A/R 1',"-3,000",PHP,"-3,000",PHP,
25/04/2019,A/R 1,To 'Cash',-500,PHP,-500,PHP,
25/04/2019,A/R 1,From 'Cash',"3,000",PHP,"3,000",PHP,
25/04/2019,Cash,From 'A/R 1',500,PHP,500,PHP,
25/04/2019,Cash,Transport,-10,PHP,-10,PHP,
25/04/2019,Cash,Food,-60,PHP,-60,PHP,
25/04/2019,Cash,Food,-67,PHP,-67,PHP,
26/04/2019,BDO,Communications,-150,PHP,-150,PHP,
26/04/2019,Cash,Transport,-7,PHP,-7,PHP,
26/04/2019,Cash,Food,-7,PHP,-7,PHP,
26/04/2019,Cash,Eating out,-99,PHP,-99,PHP,
26/04/2019,Cash,Eating out,-22,PHP,-22,PHP,
26/04/2019,Cash,Food,-79,PHP,-79,PHP,
27/04/2019,Cash,Entertainment,-480,PHP,-480,PHP,
27/04/2019,Cash,Food,-60,PHP,-60,PHP,
28/04/2019,BDO,Spotify,-129,PHP,-129,PHP,
29/04/2019,Cash,Transport,-10,PHP,-10,PHP,
29/04/2019,Cash,Food,-40,PHP,-40,PHP,
29/04/2019,Cash,Food,-33,PHP,-33,PHP,
29/04/2019,Cash,Food,-47,PHP,-47,PHP,
30/04/2019,Cash,Food,-50,PHP,-50,PHP,
30/04/2019,Cash,Food,-70,PHP,-70,PHP,
30/04/2019,Cash,Food,-23,PHP,-23,PHP,
30/04/2019,Cash,Transport,-25,PHP,-25,PHP,
30/04/2019,Cash,Food,-49,PHP,-49,PHP,
30/04/2019,Cash,Clothes,-150,PHP,-150,PHP,
30/04/2019,Cash,Transport,-7,PHP,-7,PHP,
30/04/2019,Cash,Food,-26,PHP,-26,PHP,
30/04/2019,Cash,Transport,-7,PHP,-7,PHP,
30/04/2019,Cash,Transport,-7,PHP,-7,PHP,
30/04/2019,BPI,To 'Cash',"-8,000",PHP,"-8,000",PHP,
30/04/2019,Cash,From 'BPI',"8,000",PHP,"8,000",PHP,
30/04/2019,Cash,Transport,-40,PHP,-40,PHP,
01/05/2019,A/R 1,Phone,"-1,417.5",PHP,"-1,417.5",PHP,
01/05/2019,A/R 1,Laundry,"-1,000",PHP,"-1,000",PHP,
01/05/2019,A/R 1,House,"-2,500",PHP,"-2,500",PHP,
01/05/2019,Cash,Eating out,"-1,802",PHP,"-1,802",PHP,
01/05/2019,Cash,Gift,-400,PHP,-400,PHP,
01/05/2019,Cash,Food,-10.5,PHP,-10.5,PHP,
01/05/2019,Cash,Transport,-7,PHP,-7,PHP,
01/05/2019,Cash,To 'A/R 2',"-6,300",PHP,"-6,300",PHP,Wendy rent
01/05/2019,A/R 2,From 'Cash',"6,300",PHP,"6,300",PHP,Wendy rent
01/05/2019,Cash,Netflix,-140,PHP,-140,PHP,
02/05/2019,Cash,Transport,-50,PHP,-50,PHP,
02/05/2019,Cash,Food,-65,PHP,-65,PHP,
02/05/2019,Cash,Transport,-10,PHP,-10,PHP,
02/05/2019,Cash,Food,-20,PHP,-20,PHP,
03/05/2019,Cash,Transport,-10,PHP,-10,PHP,
03/05/2019,Cash,Food,-49,PHP,-49,PHP,
03/05/2019,Cash,Food,-40,PHP,-40,PHP,
04/05/2019,A/R 2,To 'BPI',"-3,000",PHP,"-3,000",PHP,
04/05/2019,BPI,From 'A/R 2',"3,000",PHP,"3,000",PHP,
04/05/2019,Cash,Food,-150,PHP,-150,PHP,
04/05/2019,Cash,Transport,-80,PHP,-80,PHP,
04/05/2019,Cash,Food,-5,PHP,-5,PHP,
04/05/2019,Cash,Transport,-13,PHP,-13,PHP,
04/05/2019,Cash,Transport,-13,PHP,-13,PHP,
05/05/2019,Cash,Food,-16,PHP,-16,PHP,
06/05/2019,Cash,Transport,-10,PHP,-10,PHP,
06/05/2019,Cash,Food,-35,PHP,-35,PHP,
06/05/2019,Cash,Gifts,-40,PHP,-40,PHP,
06/05/2019,Cash,Food,-35,PHP,-35,PHP,
06/05/2019,Cash,Food,-55,PHP,-55,PHP,
06/05/2019,Cash,Transport,-10,PHP,-10,PHP,
07/05/2019,Cash,Food,-35,PHP,-35,PHP,
07/05/2019,Cash,Food,-8,PHP,-8,PHP,
07/05/2019,Cash,Food,-10,PHP,-10,PHP,
07/05/2019,BPI,To 'Cash',-600,PHP,-600,PHP,
07/05/2019,Cash,From 'BPI',600,PHP,600,PHP,
07/05/2019,Cash,Food,-20,PHP,-20,PHP,
07/05/2019,Cash,Food,-70,PHP,-70,PHP,
08/05/2019,Cash,Transport,-16,PHP,-16,PHP,
08/05/2019,Cash,Food,-65,PHP,-65,PHP,
08/05/2019,Cash,Food,-14,PHP,-14,PHP,
08/05/2019,Cash,Communications,-150,PHP,-150,PHP,
08/05/2019,Cash,Food,-55,PHP,-55,PHP,
09/05/2019,Cash,Transport,-10,PHP,-10,PHP,
09/05/2019,Cash,Transport,-7,PHP,-7,PHP,
09/05/2019,Cash,Food,-80,PHP,-80,PHP,
09/05/2019,Cash,Transport,-125.5,PHP,-125.5,PHP,
09/05/2019,BPI,To 'Cash',-500,PHP,-500,PHP,
09/05/2019,Cash,From 'BPI',500,PHP,500,PHP,
09/05/2019,Cash,Food,-67,PHP,-67,PHP,
10/05/2019,Cash,Transport,-153,PHP,-153,PHP,
10/05/2019,Cash,Food,-6,PHP,-6,PHP,
10/05/2019,Cash,Eating out,-166,PHP,-166,PHP,
10/05/2019,Cash,Transport,-7,PHP,-7,PHP,
10/05/2019,BPI,To 'Cash',"-2,000",PHP,"-2,000",PHP,
10/05/2019,Cash,From 'BPI',"2,000",PHP,"2,000",PHP,
10/05/2019,Cash,Gifts,-20,PHP,-20,PHP,
